,value
2021-02-02 00:50:17,58
2021-02-02 00:50:32,58
2021-02-02 00:50:37,57
2021-02-02 00:50:52,57
2021-02-02 00:50:57,58
2021-02-02 00:51:12,58
2021-02-02 00:51:17,59
2021-02-02 00:51:22,60
2021-02-02 00:51:27,61
2021-02-02 00:51:32,59
2021-02-02 00:51:42,58
2021-02-02 00:51:57,58
2021-02-02 00:52:02,59
2021-02-02 00:52:17,59
2021-02-02 00:52:22,60
2021-02-02 00:52:37,61
2021-02-02 00:52:52,62
2021-02-02 00:53:02,63
2021-02-02 00:53:07,64
2021-02-02 00:53:12,63
2021-02-02 00:53:17,61
2021-02-02 00:53:22,61
2021-02-02 00:53:27,60
2021-02-02 00:53:32,60
2021-02-02 00:53:42,59
2021-02-02 00:53:57,59
2021-02-02 00:54:12,58
2021-02-02 00:54:27,58
2021-02-02 00:54:32,59
2021-02-02 00:54:42,60
2021-02-02 00:54:52,61
2021-02-02 00:54:57,62
2021-02-02 00:55:02,62
2021-02-02 00:55:07,62
2021-02-02 00:55:12,63
2021-02-02 00:55:27,63
2021-02-02 00:55:37,61
2021-02-02 00:55:42,59
2021-02-02 00:55:52,59
2021-02-02 00:55:57,60
2021-02-02 00:56:02,59
2021-02-02 00:56:17,59
2021-02-02 00:56:32,59
2021-02-02 00:56:47,59
2021-02-02 00:56:57,60
2021-02-02 00:57:07,60
2021-02-02 00:57:17,60
2021-02-02 00:57:32,60
2021-02-02 00:57:37,59
2021-02-02 00:57:47,58
2021-02-02 00:57:52,58
2021-02-02 00:58:02,59
2021-02-02 00:58:07,60
2021-02-02 00:58:17,60
2021-02-02 00:58:22,61
2021-02-02 00:58:27,60
2021-02-02 00:58:32,58
2021-02-02 00:58:37,58
2021-02-02 00:58:52,58
2021-02-02 00:58:57,59
2021-02-02 00:59:12,60
2021-02-02 00:59:22,62
2021-02-02 00:59:37,61
2021-02-02 00:59:42,60
2021-02-02 00:59:57,61
2021-02-02 01:00:12,62
2021-02-02 01:00:17,61
2021-02-02 01:00:22,56
2021-02-02 01:00:27,55
2021-02-02 01:00:37,56
2021-02-02 01:00:42,58
2021-02-02 01:00:47,59
2021-02-02 01:00:52,60
2021-02-02 01:01:07,61
2021-02-02 01:01:17,62
2021-02-02 01:01:22,65
2021-02-02 01:01:27,67
2021-02-02 01:01:32,70
2021-02-02 01:01:37,71
2021-02-02 01:01:52,71
2021-02-02 01:02:02,70
2021-02-02 01:02:07,69
2021-02-02 01:02:22,69
2021-02-02 01:02:37,69
2021-02-02 01:02:52,69
2021-02-02 01:03:02,69
2021-02-02 01:03:07,70
2021-02-02 01:03:22,72
2021-02-02 01:03:27,73
2021-02-02 01:03:37,73
2021-02-02 01:03:52,73
2021-02-02 01:04:07,73
2021-02-02 01:04:22,73
2021-02-02 01:04:37,73
2021-02-02 01:04:52,73
2021-02-02 01:05:07,73
2021-02-02 01:05:12,74
2021-02-02 01:05:17,73
2021-02-02 01:05:22,74
2021-02-02 01:05:32,75
2021-02-02 01:05:42,76
2021-02-02 01:05:47,78
