,value
2021-02-02 01:04:30,69
2021-02-02 01:04:45,70
2021-02-02 01:04:55,71
2021-02-02 01:05:00,70
2021-02-02 01:05:15,71
2021-02-02 01:05:20,72
2021-02-02 01:05:35,72
2021-02-02 01:05:45,72
2021-02-02 01:05:50,78
2021-02-02 01:05:55,78
2021-02-02 01:06:05,75
2021-02-02 01:06:10,72
2021-02-02 01:06:15,71
2021-02-02 01:06:20,70
2021-02-02 01:06:25,69
2021-02-02 01:06:40,69
2021-02-02 01:06:45,70
2021-02-02 01:07:00,70
2021-02-02 01:07:05,71
2021-02-02 01:07:15,73
2021-02-02 01:07:30,73
2021-02-02 01:07:35,69
2021-02-02 01:07:50,69
2021-02-02 01:07:52,69
2021-02-02 01:07:57,71
2021-02-02 01:08:07,71
2021-02-02 01:08:17,70
2021-02-02 01:08:22,69
2021-02-02 01:08:32,68
2021-02-02 01:08:37,68
2021-02-02 01:08:42,69
2021-02-02 01:08:52,68
2021-02-02 01:09:02,69
2021-02-02 01:09:17,67
2021-02-02 01:09:22,66
2021-02-02 01:09:27,65
2021-02-02 01:09:37,69
2021-02-02 01:09:42,74
2021-02-02 01:09:47,75
2021-02-02 01:10:02,71
2021-02-02 01:10:07,68
2021-02-02 01:10:12,65
2021-02-02 01:10:17,64
2021-02-02 01:10:22,61
2021-02-02 01:10:27,60
2021-02-02 01:10:32,58
2021-02-02 01:10:37,57
2021-02-02 01:10:47,56
2021-02-02 01:10:52,55
2021-02-02 01:10:57,54
2021-02-02 01:11:02,54
2021-02-02 01:11:07,53
2021-02-02 01:11:22,53
2021-02-02 01:11:37,54
2021-02-02 01:11:42,54
2021-02-02 01:11:52,53
2021-02-02 01:12:02,54
2021-02-02 01:12:07,56
2021-02-02 01:12:17,60
2021-02-02 01:12:22,63
2021-02-02 01:12:32,64
2021-02-02 01:12:37,70
2021-02-02 01:12:42,76
2021-02-02 01:12:47,74
2021-02-02 01:12:52,67
2021-02-02 01:12:57,62
2021-02-02 01:13:02,58
2021-02-02 01:13:07,56
2021-02-02 01:13:12,54
2021-02-02 01:13:17,52
2021-02-02 01:13:22,50
2021-02-02 01:13:27,49
2021-02-02 01:13:32,49
2021-02-02 01:13:42,50
2021-02-02 01:13:57,51
2021-02-02 01:14:07,52
2021-02-02 01:14:12,53
2021-02-02 01:14:17,52
2021-02-02 01:14:22,53
2021-02-02 01:14:27,52
2021-02-02 01:14:37,50
2021-02-02 01:14:42,51
2021-02-02 01:14:57,52
2021-02-02 01:15:02,52
2021-02-02 01:15:12,51
2021-02-02 01:15:22,52
2021-02-02 01:15:27,51
2021-02-02 01:15:37,52
2021-02-02 01:15:42,51
2021-02-02 01:15:52,50
2021-02-02 01:15:57,51
2021-02-02 01:16:02,52
2021-02-02 01:16:07,53
2021-02-02 01:16:17,52
2021-02-02 01:16:22,51
2021-02-02 01:16:32,50
2021-02-02 01:16:42,49
2021-02-02 01:16:57,50
2021-02-02 01:17:02,51
2021-02-02 01:17:17,51
2021-02-02 01:17:22,49
