,value
2021-02-02 03:27:28,64
2021-02-02 03:27:33,63
2021-02-02 03:27:38,64
2021-02-02 03:27:43,65
2021-02-02 03:27:48,67
2021-02-02 03:27:53,71
2021-02-02 03:27:58,80
2021-02-02 03:28:03,77
2021-02-02 03:28:08,69
2021-02-02 03:28:13,65
2021-02-02 03:28:18,66
2021-02-02 03:28:23,63
2021-02-02 03:28:28,61
2021-02-02 03:28:33,61
2021-02-02 03:28:43,62
2021-02-02 03:28:48,63
2021-02-02 03:28:53,64
2021-02-02 03:28:58,65
2021-02-02 03:29:03,64
2021-02-02 03:29:08,68
2021-02-02 03:29:13,72
2021-02-02 03:29:23,68
2021-02-02 03:29:28,64
2021-02-02 03:29:33,63
2021-02-02 03:29:48,63
2021-02-02 03:29:53,63
2021-02-02 03:29:58,62
2021-02-02 03:30:13,62
2021-02-02 03:30:18,63
2021-02-02 03:30:23,67
2021-02-02 03:30:28,66
2021-02-02 03:30:33,64
2021-02-02 03:30:48,65
2021-02-02 03:30:58,64
2021-02-02 03:31:03,62
2021-02-02 03:31:08,62
2021-02-02 03:31:18,65
2021-02-02 03:31:23,69
2021-02-02 03:31:28,67
2021-02-02 03:31:33,66
2021-02-02 03:31:43,65
2021-02-02 03:31:48,64
2021-02-02 03:31:53,65
2021-02-02 03:31:58,63
2021-02-02 03:32:03,62
2021-02-02 03:32:08,61
2021-02-02 03:32:23,63
2021-02-02 03:32:28,64
2021-02-02 03:32:43,63
2021-02-02 03:32:53,64
2021-02-02 03:32:58,65
2021-02-02 03:33:03,66
2021-02-02 03:33:08,66
2021-02-02 03:33:13,65
2021-02-02 03:33:18,63
2021-02-02 03:33:28,67
2021-02-02 03:33:33,68
2021-02-02 03:33:38,67
2021-02-02 03:33:48,66
2021-02-02 03:33:53,65
2021-02-02 03:33:58,65
2021-02-02 03:34:03,65
2021-02-02 03:34:08,71
2021-02-02 03:34:13,72
2021-02-02 03:34:18,70
2021-02-02 03:34:23,69
2021-02-02 03:34:28,67
2021-02-02 03:34:38,68
2021-02-02 03:34:43,69
2021-02-02 03:34:53,66
2021-02-02 03:34:58,64
2021-02-02 03:35:03,63
2021-02-02 03:35:08,65
2021-02-02 03:35:13,66
2021-02-02 03:35:18,64
2021-02-02 03:35:23,63
2021-02-02 03:35:28,63
2021-02-02 03:35:33,69
2021-02-02 03:35:38,72
2021-02-02 03:35:43,69
2021-02-02 03:35:48,65
2021-02-02 03:35:53,64
2021-02-02 03:36:08,63
2021-02-02 03:36:13,62
2021-02-02 03:36:28,62
2021-02-02 03:36:33,63
2021-02-02 03:36:38,66
2021-02-02 03:36:43,68
2021-02-02 03:36:53,66
2021-02-02 03:36:58,64
2021-02-02 03:37:03,63
2021-02-02 03:37:18,63
2021-02-02 03:37:33,63
2021-02-02 03:37:43,63
2021-02-02 03:37:58,62
2021-02-02 03:38:13,61
2021-02-02 03:38:23,62
2021-02-02 03:38:33,61
2021-02-02 03:38:38,60
2021-02-02 03:38:53,60
2021-02-02 03:38:58,61
2021-02-02 03:39:03,63
2021-02-02 03:39:08,61
2021-02-02 03:39:13,59
2021-02-02 03:39:28,59
2021-02-02 03:39:33,60
2021-02-02 03:39:38,61
2021-02-02 03:39:43,62
2021-02-02 03:39:48,66
2021-02-02 03:39:53,68
2021-02-02 03:39:58,66
2021-02-02 03:40:03,64
2021-02-02 03:40:08,63
2021-02-02 03:40:13,64
2021-02-02 03:40:28,63
2021-02-02 03:40:38,62
2021-02-02 03:40:53,62
2021-02-02 03:41:03,61
2021-02-02 03:41:08,60
2021-02-02 03:41:23,60
2021-02-02 03:41:28,60
2021-02-02 03:41:33,61
2021-02-02 03:41:38,65
2021-02-02 03:41:43,64
2021-02-02 03:41:48,62
2021-02-02 03:41:58,63
2021-02-02 03:42:03,64
2021-02-02 03:42:13,66
2021-02-02 03:42:23,74
2021-02-02 03:42:28,76
2021-02-02 03:42:33,72
2021-02-02 03:42:40,67
2021-02-02 03:42:45,62
2021-02-02 03:42:50,61
2021-02-02 03:43:05,61
2021-02-02 03:43:10,60
2021-02-02 03:43:15,59
2021-02-02 03:43:30,59
2021-02-02 03:43:40,59
2021-02-02 03:43:50,61
2021-02-02 03:44:05,61
2021-02-02 03:44:20,62
2021-02-02 03:44:25,62
2021-02-02 03:44:30,63
2021-02-02 03:44:45,63
2021-02-02 03:44:55,62
2021-02-02 03:45:00,62
2021-02-02 03:45:05,64
2021-02-02 03:45:10,75
2021-02-02 03:45:15,76
2021-02-02 03:45:20,75
2021-02-02 03:45:30,76
2021-02-02 03:45:35,78
2021-02-02 03:45:44,74
2021-02-02 03:45:49,69
2021-02-02 03:45:54,63
2021-02-02 03:45:59,62
2021-02-02 03:46:04,61
2021-02-02 03:46:14,59
2021-02-02 03:46:29,59
2021-02-02 03:46:44,59
2021-02-02 03:46:49,60
2021-02-02 03:46:54,61
2021-02-02 03:47:04,60
2021-02-02 03:47:09,59
2021-02-02 03:47:24,60
2021-02-02 03:47:29,60
2021-02-02 03:47:39,62
2021-02-02 03:47:44,61
2021-02-02 03:47:49,59
2021-02-02 03:47:54,58
2021-02-02 03:48:09,57
2021-02-02 03:48:24,58
2021-02-02 03:48:34,57
2021-02-02 03:48:44,57
2021-02-02 03:48:49,58
2021-02-02 03:48:59,63
2021-02-02 03:49:04,85
2021-02-02 03:49:09,89
2021-02-02 03:49:14,83
2021-02-02 03:49:19,80
2021-02-02 03:49:24,73
2021-02-02 03:49:29,67
2021-02-02 03:49:34,63
2021-02-02 03:49:39,61
2021-02-02 03:49:44,60
2021-02-02 03:49:59,60
2021-02-02 03:50:04,61
2021-02-02 03:50:14,59
2021-02-02 03:50:19,58
2021-02-02 03:50:24,57
2021-02-02 03:50:29,58
2021-02-02 03:50:44,58
2021-02-02 03:50:59,58
2021-02-02 03:51:14,57
2021-02-02 03:51:29,57
2021-02-02 03:51:34,56
2021-02-02 03:51:49,56
2021-02-02 03:52:04,56
2021-02-02 03:52:09,55
2021-02-02 03:52:24,57
2021-02-02 03:52:29,64
2021-02-02 03:52:34,63
2021-02-02 03:52:39,59
2021-02-02 03:52:44,56
2021-02-02 03:52:49,55
2021-02-02 03:53:04,56
2021-02-02 03:53:19,57
2021-02-02 03:53:24,58
